,timestamp,open,high,low,close,volume,change,Unnamed: 0,Mention Count,Mean Sent Score,Scores StdDev
0,2022-01-31,97.87,109.8199,97.86,108.93,3499273,11.06,2022-1-31,11,-0.0439727272727272,0.2980812610376878
1,2022-02-01,113.01,116.65,108.2649,112.6,3461877,-0.41,2022-2-1,38,0.0510236842105263,0.25932455031653
2,2022-02-02,110.35,111.8599,98.06,100.04,3279135,-10.31,2022-2-2,36,-0.0394611111111111,0.4778745712768319
3,2022-02-03,101.5,106.94,97.71,99.23,2677519,-2.27,2022-2-3,1,0.0,0.0
4,2022-02-04,99.01,104.0,95.08,102.34,1906791,3.33,2022-2-4,16,-0.0647062499999999,0.4374614763515373
5,2022-02-07,102.99,105.3849,98.77,102.34,1759360,-0.65,2022-2-5,21,-0.0500904761904762,0.3043550458013829
6,2022-02-08,101.755,117.6717,100.55,115.6,4959906,13.845,2022-2-6,32,-0.0668281249999999,0.4222732636379762
7,2022-02-09,114.09,124.71,113.0,124.29,3866895,10.2,2022-2-9,13,-0.0278692307692307,0.2906570011331092
8,2022-02-10,117.95,131.78,116.0,122.47,3706537,4.52,2022-2-10,7,0.1934571428571428,0.2567145422263339
9,2022-02-11,122.48,129.8668,120.7706,124.25,2824777,1.77,2022-2-11,1,0.0,0.0
10,2022-02-14,122.93,125.5,116.15,117.09,2275676,-5.84,2022-2-12,7,0.1440285714285714,0.2051961071291373
11,2022-02-15,120.96,127.2299,119.26,126.16,1980089,5.2,2022-2-13,2,-0.2553,0.3610487224738511
12,2022-02-16,124.43,132.85,123.92,128.33,2001931,3.9,2022-2-14,1,0.0,0.0
13,2022-02-17,126.77,130.8479,122.22,123.41,1564104,-3.36,2022-2-15,26,-0.0163115384615384,0.4458870810659785
14,2022-02-18,124.2,125.6496,118.131,121.53,1553539,-2.67,2022-2-16,5,-0.35378,0.2221552767773027
15,2022-02-22,118.2,123.33,114.185,118.06,1530798,-0.14,2022-2-17,6,0.0741833333333333,0.1495115569669002
16,2022-02-23,121.22,123.355,114.2801,114.87,1348252,-6.35,2022-2-18,3,0.0674333333333333,0.1167979594570613
17,2022-02-24,105.53,125.71,104.12,124.58,2256212,19.05,2022-2-19,8,0.0268,0.4086073595589221
18,2022-02-25,123.57,124.97,116.485,118.58,1710255,-4.99,2022-2-20,3,-0.2278666666666666,0.5878651999679292
19,2022-02-28,121.0,126.285,116.89,123.34,1614497,2.34,2022-2-21,55,-0.017710909090909,0.4544429286877984
20,2022-03-01,122.19,125.87,118.35,119.02,1096021,-3.17,2022-2-22,3,-0.3467666666666666,0.3405785714535389
21,2022-03-02,119.5,122.67,116.3714,121.97,1310650,2.47,2022-2-23,1,0.5792,0.0
22,2022-03-03,122.96,123.74,117.23,118.41,1095602,-4.55,2022-2-24,6,0.03095,0.4108741790378168
23,2022-03-04,118.01,120.51,110.5812,111.66,1480013,-6.35,2022-2-25,1,0.0,0.0
24,2022-03-07,115.0,115.0,96.1025,99.35,3147865,-15.65,2022-2-26,1,0.0,0.0
25,2022-03-08,101.03,108.99,97.0861,103.01,2134029,1.98,2022-2-27,2,0.0245999999999999,0.8824692629208113
26,2022-03-09,106.98,108.86,103.5,105.21,1399597,-1.77,2022-2-28,3,0.2816333333333333,0.2747318753500098
27,2022-03-10,103.92,104.0572,98.2512,100.56,1395467,-3.36,2022-3-1,8,0.1018999999999999,0.3536886807025959
28,2022-03-11,102.66,102.9,92.69,92.69,2205538,-9.97,2022-3-2,14,-0.0532785714285714,0.3624456016023358
29,2022-03-14,93.43,94.32,77.58,78.11,4533614,-15.32,2022-3-3,1,0.0,0.0
30,2022-03-15,82.1,87.56,78.68,82.64,3528798,0.54,2022-3-4,4,0.0409249999999999,0.2655581715933441
31,2022-03-16,85.11,90.01,82.0,86.86,2653928,1.75,2022-3-5,4,-0.4623,0.323005521108644
32,2022-03-17,85.1,89.58,83.45,87.7,3449120,2.6,2022-3-6,23,0.0970695652173913,0.3910933815887577
33,2022-03-18,79.74,97.45,78.9,90.79,8852319,11.05,2022-3-7,47,0.0574829787234042,0.2246389908847458
34,2022-03-21,90.0,99.3992,89.76,94.2,3910515,4.2,2022-3-8,8,0.361,0.4068648002890957
35,2022-03-22,95.4,125.79,94.45,123.14,14033410,27.74,2022-3-9,22,-0.0440954545454545,0.3720626220681939
36,2022-03-23,130.0,150.9299,126.55,141.0,24599841,11.0,2022-3-10,3,-0.1848,0.3200829892387285
37,2022-03-24,134.015,143.48,126.76,142.39,9100150,8.375,2022-3-11,11,-0.1486363636363636,0.5115511885876667
38,2022-03-25,140.04,158.1599,138.2,151.95,13263398,11.91,2022-3-12,5,-0.11148,0.2492768581316765
39,2022-03-28,151.98,190.84,151.545,189.59,16316524,37.61,2022-3-13,39,0.1192102564102564,0.447476392082292
